Nome,ticker,valor,resumo_final,tag1,tag2,tag3,tag4,tag5
Cosan,csan3,https://www.statusinvest.com.br,"Status Invest is a financial investment platform that provides comprehensive tools, information, and services related to various investment assets primarily in the Brazilian and international markets. The company offers detailed data, analytics, and insights on stocks, real estate investment trusts (REITs), exchange-traded funds (ETFs), fixed income, cryptocurrencies, and other financial instruments. Its services include advanced search and analysis functionalities for stocks, IPOs, FIIs (Brazilian real estate funds), investment funds (FIAs, FIDCs, FIPs, FI-Infra, Fiagros), BDRs, Treasury bonds, and market indexes. Status Invest also offers personalized financial advisory services with several tiers of investment advisory plans (on-demand, exclusive, premium, private), designed to provide portfolio mapping, goal alignment, continuous monitoring by dedicated advisors, and fixed transparent fees. The advisory service emphasizes client-aligned interests and certified professional support to enhance investment strategies and growth. In addition, the platform features real-time data updates, dividend information, event calendars, and educational content like investment courses. Overall, Status Invest operates as a comprehensive investment management and advisory platform aiming to centralize investment tracking, provide research tools, and offer tailored financial advice to help investors make informed decisions and grow their wealth.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Banking and investment', 'Securities', 'Insurance and retirement services']","['Investment advice', 'Securities and commodities markets services', 'Funds transfer and clearance and exchange services']","['Investment analysis', 'Investment advisers', 'Financial asset management service', 'Market data']"
Vibra Energia,vbbr3,https://www.vibraenergia.com.br,"Vibra Energia is a Brazilian energy company with a history of over 50 years, originally known as Petrobras Distribuidora. It is a leader in the distribution and commercialization of petroleum derivatives in Brazil, and has expanded to become a major multienergy platform. The company offers a broad portfolio of products and services including fuels, lubricants, chemicals, petrochemicals, and energy solutions with a strong focus on sustainability and the energy transition towards low-carbon alternatives. Vibra operates retail fuel stations under the Petrobras brand, convenience stores (BR Mania), and provides services to various market segments such as agribusiness, aviation, industries, transportation, and retail. The company also invests in innovation, startups, and new energy technologies, including sustainable aviation fuel (SAF) and electric mobility through ventures like EZVolt. Vibra maintains commitments to sustainability, corporate governance, social causes (notably combating sexual violence against children), and operates with transparency, ethical principles, and a strong focus on environmental, social, and governance (ESG) criteria.",['Energy'],"['Fuels and Fuel Additives and Lubricants and Anti corrosive Materials', 'Mining and oil and gas services']","['Fuels', 'Lubricants and oils and greases and anti corrosives']","['Petroleum and distillates', 'Fuel Oils', 'Lubricating preparations']","['Gasoline or Petrol', 'Diesel fuel', 'Aviation fuel', 'Lubricants for food processing equipment', 'Heat transfer oil or fluid']"
Raízen,raiz4,https://www.raizen.com.br,"Raízen is a major integrated energy company operating primarily in Brazil, Argentina, and Paraguay. It is a joint venture between Shell and Cosan, with over 45,000 employees and extensive partner networks. The company produces and distributes renewable and traditional energy products, focusing on sustainability, ethics, and operational excellence.\n\nMain products and services include: renewable energy production (ethanol, second-generation ethanol, biogas, bioenergy cogeneration); energy commercialization; mobility solutions (Shell-branded fuel stations, aviation fuels, premium products, lubricants); proximity retail (convenience stores like Shell Select and Oxxo); and sugar production and export. Raízen also operates a broad supply chain and logistics infrastructure with numerous plants, distribution centers, and offices across South America. It invests in social and environmental sustainability, innovation through its Pulse innovation hub, and corporate governance with transparency and compliance policies. Additionally, Raízen runs the Fundação Raízen social foundation focused on education and community development. The company holds multiple sustainability and quality certifications (Bonsucro, ISCC, ISO 14001, ISO 45001, and others). It also manages a comprehensive supplier development program and maintains strong ethics and conduct standards in its operations.",['Energy'],"['Fuels and Fuel Additives and Lubricants and Anti corrosive Materials', 'Mining and oil and gas services']","['Fuels', 'Lubricants and oils and greases and anti corrosives', 'Gaseous fuels and additives']","['Plant based liquid fuels or biofuels', 'Fuel Oils', 'Lubricating preparations']","['Ethanol', 'Lubricants for food processing equipment', 'General purpose lubricants']"
Grupo Vamos,vamo3,https://www.grupovamos.com.br,"Grupo Vamos is a Brazilian company specializing in vehicle leasing and sales, with a focus on commercial vehicles. Their main products and services include leasing and sales of trucks, agricultural machinery, buses (both road and urban), utility vehicles, and various truck implements. The company operates with a large fleet of over 54,000 assets and serves more than 1,500 clients through more than 19 stores nationwide. Grupo Vamos also offers plans such as Vamos Mais and caters to a wide range of customers supported by a robust network including more than 5,000 accredited workshops and over 600 mechanics. The company emphasizes sustainability, corporate governance, and investor relations, providing comprehensive financial reports and services for investors.","['Consumer Discretionary', 'Industrials']","['Vehicles and their Accessories and Components', 'Farming and Fishing and Forestry and Wildlife Machinery and Accessories', 'Transportation and Storage and Mail Services']","['Passenger transport', 'Transportation components and systems', 'Agricultural and forestry and landscape machinery and equipment', 'Vehicle bodies and trailers', 'Transport services']","['Passenger road transportation', 'Vehicle leasing and rental services', 'Transport arranging services']","['Vehicle leasing of light trucks and sport utility vehicles', 'Vehicle leasing of passenger vans or minivans', 'Vehicle leasing of sedans or coupes or station wagons', 'Vehicle leasing of commercial vehicles', 'Scheduled bus services']"
Azevedo & Travassos,azev4,https://www.azevedotravassos.com.br,"Azevedo & Travassos is a Brazilian holding company with over 145 years of engineering experience through its operational companies: Azevedo & Travassos Infraestrutura and Heftos Óleo & Gás Construções. The group specializes in large-scale infrastructure and oil & gas engineering projects. Its services and product categories include heavy construction, sanitation, pipeline construction (including oil and gas pipelines), electromechanical and industrial assembly, maintenance and industrial construction for oil and gas units (both onshore and offshore), asset management, scheduled turnarounds, and infrastructure investments via its investment arm. Key projects span transportation infrastructure (roads, bridges, tunnels, railways, metro), sanitation systems, industrial installations, and oil and gas sector operations, including platforms and refineries. The group emphasizes innovation, quality, transparency, and compliance, supported by a strong team of technical experts and a rich historical legacy dating back to 1922. It operates with a modern management approach while maintaining its century-old traditions.","['Industrials', 'Energy']","['Building and Construction Machinery and Accessories', 'Industrial Production and Manufacturing Services', 'Mining and oil and gas services', 'Engineering and Research and Technology Based Services', 'Building and Facility Construction and Maintenance Services']","['Heavy construction machinery and equipment', 'Oil and gas extraction and production enhancement services', 'Oil and gas well project management services', 'Heavy construction services']","['Infrastructure building and surfacing and paving services', 'Heavy equipment components', 'Building construction machinery and accessories', 'Oilfield production operations management']","['Oil and gas pipeline construction service', 'Highway and road paving service', 'Bridge construction and repair service', 'Tunnel construction and repair service', 'Oil and gas branch line construction service']"
Vale,vale3,https://www.vale.com,"PT Vale Indonesia Tbk is a leading mineral mining company operating in Indonesia for over half a century, focused on sustainable development. It mines laterite nickel ore and processes it into nickel matte, with an average annual nickel production of about 75,000 tons. The company utilizes pyrometallurgical technology for nickel production and has ongoing projects to build nickel processing plants and smelters employing technologies such as High Pressure Acid Leaching (HPAL) for producing intermediate products for electric vehicle batteries. PT Vale operates under a legal concession covering large areas in Sulawesi and is partly owned by major global mining companies including Vale Canada Limited and Sumitomo Metal Mining, as well as Indonesian mining holding company MIND ID. The company prioritizes local leadership development and sustainable mining practices with commitments to environmental management, social development, and corporate governance.",['Materials'],['Mineral and Textile and Inedible Plant and Animal Materials'],['Minerals and ores and metals'],"['Minerals', 'Ores', 'Base Metals', 'Intermediate processed and refined ore products']","['Nickel ore', 'Nickel matte', 'Ferrous alloy', 'Non ferrous alloy', 'Cobalt ore matte']"
Cemig,cmig4,https://www.cemig.com.br,"Cemig (Companhia Energética de Minas Gerais) is a leading integrated energy company in Brazil with operations across 26 states and the Federal District. Founded in 1952, Cemig operates in the generation, transmission, distribution, and commercialization of electric energy as well as the distribution of natural gas. The company manages a diverse portfolio including hydroelectric, wind, and photovoltaic power plants, and operates extensive transmission and distribution networks, primarily serving the state of Minas Gerais with over 9 million consumers in 774 municipalities. Cemig is also a major player in the free energy market and a leading commercializer of electric energy in Brazil. Additionally, through its subsidiary Gasmig, it exclusively distributes natural gas in Minas Gerais to various sectors including industrial, residential, commercial, and automotive. Cemig promotes sustainability, efficiency, and innovation in energy solutions and provides a range of services such as new connections, billing, customer service channels, energy efficiency programs, and initiatives in social responsibility and environmental conservation. The company is publicly traded on the São Paulo, New York, and Madrid stock exchanges and is recognized for its commitment to compliance, transparency, and ethical practices.","['Energy', 'Utilities']",['Public Utilities and Public Sector Related Services'],['Utilities'],"['Electric utilities', 'Oil and gas utilities', 'Energy conservation']","['Supply of single phase electricity', 'Supply of three phase electricity', 'Electric power transmission services', 'Industrial electric power distribution', 'Rural electrical power distribution', 'Municipal electric power distribution', 'Supply of natural gas', 'Energy conservation programs', 'Energy Utilities']"
Grupo Pão de Açúcar,pcar3,https://www.gpa.com.br,"Gerenciamento Projetos e Assessoria Ltda. (GPA) is a Brazilian company specializing in architectural and engineering project development and management. Their services span multiple sectors including commercial, residential, corporate, educational, and industrial projects. They offer comprehensive solutions such as architectural design for various building types (industrial, commercial, residential, educational facilities, hotels, shopping centers), infrastructure projects (sewage networks, water treatment, landscaping), interior architecture (workspace layout and furniture planning), project management (coordinating multidisciplinary teams, cost and time optimization), and construction management (logistics, physical-financial control, supplier selection). Established in 1986, GPA provides end-to-end services from conceptualization through detailed design and implementation management for projects in São Paulo, Brazil.","['Industrials', 'Consumer Discretionary']","['Building and Construction Machinery and Accessories', 'Building and Facility Construction and Maintenance Services', 'Engineering and Research and Technology Based Services', 'Structures and Building and Construction and Manufacturing Components and Supplies']","['Professional engineering services', 'Residential building construction services', 'Nonresidential building construction services', 'Heavy construction services', 'Building and facility maintenance and repair services', 'Specialized trade construction and maintenance services']","['Civil engineering', 'Engineering procurement and project management services', 'Commercial and office building construction services', 'Multiple unit dwelling construction services', 'New industrial building and warehouse construction services', 'Infrastructure building and surfacing and paving services']","['Architectural engineering', 'Building construction management', 'Urban design and engineering service']"
Rumo,rail3,https://www.rumolog.com,"Rumo is the largest private freight railway operator in Brazil, offering comprehensive logistics solutions that connect key agricultural and industrial regions across the country to major ports. Their services encompass freight transport via a vast rail network of approximately 14,000 km operated across multiple states, terminal operations, state railway projects (such as the Ferrovia Estadual de Mato Grosso), and container logistics. Rumo also emphasizes sustainability, social responsibility through its nonprofit Instituto Rumo, innovation, and robust governance practices. It manages significant volumes of exports, particularly grains, and works on expanding and modernizing its infrastructure to support Brazil's agribusiness growth while minimizing environmental impact. It maintains programs for supplier management, ethical compliance, and employee development, including internship, trainee, and apprenticeship initiatives.",['Industrials'],"['Transportation and Storage and Mail Services', 'Building and Facility Construction and Maintenance Services', 'Environmental Services']","['Mail and cargo transport', 'Transport services']","['Rail cargo transport', 'Logistics operation management', 'Terminal services']","['Bulk cargo rail transport services', 'Railway transport services of letters and parcels', 'Terminal operations']"
Petrobras,petr3,https://www.investidorpetrobras.com.br,"Petrobras is a Brazilian multinational corporation and one of the world's largest oil and gas producers. It specializes in exploration and production, especially in deep and ultra-deep offshore waters, refining, energy generation, and marketing. The company aims to operate efficiently with low costs and low carbon emissions, targeting carbon neutrality for activities under its control by 2050. Its main products and services include petroleum exploration, oil and gas production, refining operations, energy generation, and commercial distribution of petroleum products. Additionally, Petrobras engages in social and environmental initiatives aligned with ESG principles, focusing on sustainable development and social responsibility in the communities it operates.",['Energy'],"['Mining and oil and gas services', 'Fuels and Fuel Additives and Lubricants and Anti corrosive Materials']","['Oil and gas exploration services', 'Oil and gas extraction and production enhancement services', 'Oil and gas well project management services', 'Fuels']","['Oilfield production engineering management', 'Oilfield production operations management', 'Petroleum and distillates']","['Oilfield production chemistry services', 'Oilfield production monitoring services', 'Enhanced oil recovery services', 'Oilfield lease operations', 'Oilfield processing services']"
Cyrela,cyre3,https://www.cyrela.com.br,"Cyrela is a real estate company primarily engaged in the development and sale of residential properties. Their main offerings include a diverse portfolio of residential projects, aiming to meet various customer needs. They provide services related to property development and sales, along with customer support and communication channels through their contact services.",['Real Estate'],['Land and Buildings and Structures and Thoroughfares'],['Permanent buildings and structures'],['Accommodation buildings and structures'],"['Residential home', 'Flat or apartment']"
Motiva,motv3,https://www.ccr.com.br,"Motiva is a company focused on improving people's lives through mobility in Brazil. Formerly known as Grupo CCR, Motiva manages transportation infrastructure including highways, airports, and railways across the country. They operate 37 concessions spanning roads, airports, and rail tracks in 13 states, serving all regions of Brazil. Their main services include highway management (such as AutoBAn and RioSP), operation of over 10 airports (e.g., Bacacheri and Bagé), and management of rail systems including ViaQuatro and VLT Carioca. Motiva also emphasizes sustainability and ESG practices, investing approximately 46 billion BRL in upcoming years in their business areas. Additionally, the company engages in social investments through its institute supporting health, education, culture, and sports projects. Motiva is committed to innovation, diversity in leadership, and transparent reporting to investors and stakeholders.","['Industrials', 'Consumer Discretionary']","['Transportation and Storage and Mail Services', 'Building and Facility Construction and Maintenance Services']","['Passenger transport', 'Transport services']","['Passenger air transportation', 'Passenger railway transportation', 'Passenger road transportation', 'Intermodal passenger transport services']","['Continental or inter continental rail services', 'Scheduled bus services', 'Medical evacuation by ambulance', 'Mixed mode urban and suburban transportation for passengers']"
CVC,cvcb3,https://www.cvccorp.com.br,"CVC Corp is a leading travel and tourism company based in Brazil with operations in Brazil and Argentina. Established in 1972, it has grown to serve mainly the Brazilian middle class, offering travel packages and services through a mix of physical stores, franchises, and digital platforms. The company operates several well-known brands in Brazil and Argentina, catering to leisure, corporate travel, intercultural exchange, and luxury travel segments. Its services include the sale of air tickets, travel packages, tour operations, and exchange programs, serving both final consumers and travel agents. CVC Corp also invests in technology and innovation, incorporating AI to enhance sales and customer engagement. It manages a broad geographical presence through direct stores, franchises, and affiliated consultants, including in smaller cities. With a commitment to sustainability and governance, it holds certifications and has established policies for ethical conduct and corporate governance. The company is publicly traded with a strong focus on growth and operational efficiency.",['Consumer Discretionary'],['Travel and Food and Lodging and Entertainment Services'],['Travel facilitation'],"['Travel agents', 'Emergency travel assistance services']","['Travel agencies', 'Tour arrangement services']"
Usiminas,usim5,https://www.usiminas.com,"Usiminas is a Brazilian company specializing in steel production and providing integrated, customized steel solutions for various industries. Their main products include thick plates, hot strips, cold rolled sheets, electro-galvanized, and hot-dip galvanized steel sheets. They serve multiple market sectors such as automotive, civil construction, energy, household appliances, naval, oil and gas, machinery, and equipment. Usiminas emphasizes sustainability, ethical governance, innovation, and inclusivity through various programs, including diversity and inclusion initiatives and corporate social responsibility projects via its foundation and institute. They also have a corporate university for employee development and operate across six Brazilian states with a strong focus on quality, safety, and environmental responsibility.",['Materials'],['Mineral and Textile and Inedible Plant and Animal Materials'],"['Alloys', 'Metal oxide', 'Scrap and waste materials']",['Basic steels'],['A37-2 steel']
Banco Bradesco,bbdc3,https://www.bradesco.com.br,"Bradesco is a financial services company based in Brazil. It offers a wide range of banking products and services including personal and business banking, loans, insurance, investment products, and digital banking solutions.",['Financials'],['Financial and Insurance Services'],"['Banking and investment', 'Insurance and retirement services']","['Banking institutions', 'Insurance services for structures and property and possessions', 'Investment advice']","['Privately owned banks', 'Insurance broking fees and commission', 'Investment advisers', 'Investment policy', 'Financial asset management service']"
PetroRio,prio3,https://www.prio3.com.br,"PRIO is a Brazilian independent oil and gas company specializing in the revitalization of mature offshore oil fields. It operates several oil fields including Polvo, Tubarão Martelo, Frade, Wahoo, Albacora Leste, and Peregrino, producing over 100,000 barrels per day. PRIO focuses on efficiency, safety, sustainability, and innovative management to maximize production and extend field life. The company also invests in Corporate Venture Capital (PRIO Ventures) to fund startups with disruptive technologies in oil and gas, including production development, health, environment, safety, operations maintenance, and digital transformation. PRIO promotes strong ESG initiatives with commitments to environmental preservation, social responsibility, health and well-being of employees, and ethical governance. Additionally, PRIO supports social and cultural projects through its Instituto PRIO, targeting environmental education, biodiversity and climate actions, and sustainable development of coastal and maritime communities. Core products and services include oil production from mature fields, trading, and investment in oil and gas technologies.",['Energy'],['Mining and oil and gas services'],"['Oil and gas extraction and production enhancement services', 'Oil and gas well project management services']","['Well production services', 'Oilfield production operations management', 'Other oilfield support services']","['Oilfield lease operations', 'Well restoration and enhancement services', 'Oilfield process services', 'Oil and gas technology licensing service', 'Oilfield research and development services']"
Localiza,rent3,https://www.localiza.com,"Localiza Rent a Car is a leading car rental company operating mainly in Latin America, offering a wide range of mobility services. Their main products and services include daily and monthly car rentals suitable for individuals and businesses, fleet management solutions, car subscription services (MEOO), rideshare vehicle rentals (ZARP for Uber drivers), and the sale of pre-owned cars. They provide specialized rental services for businesses, travel agencies, and insurance companies, featuring personalized support, fleet monitoring, cost management tools, and flexible contract options. The company has a strong presence across countries like Brazil, Argentina, Colombia, Ecuador, Mexico, Paraguay, and Uruguay, supported by an extensive agency network. Additional offerings include a loyalty program called Localiza Fidelidade, which rewards customers with points for rentals and provides exclusive benefits. Localiza also operates a franchise model to expand its reach. Overall, Localiza emphasizes convenience, customized solutions, and sustainability by compensating carbon emissions from rentals.",['Consumer Discretionary'],"['Vehicles and their Accessories and Components', 'Travel and Food and Lodging and Entertainment Services']","['Motor vehicles', 'Transportation services equipment']","['Passenger motor vehicles', 'Vehicle servicing equipment']","['Automobiles or cars', 'Minivans or vans', 'Light trucks or sport utility vehicles']"
Copel,cple6,https://www.copel.com,"Copel (Companhia Paranaense de Energia) is one of the largest integrated energy companies in Brazil, operating primarily in the state of Paraná. The company offers a range of services including energy distribution, generation, transmission, and participation in the free energy market. Copel manages extensive electrical infrastructure such as substations, intelligent meters, and a wide network of power lines to provide electricity to both urban and rural areas. Besides its core electricity business, Copel provides products like home and life insurance services. The company maintains a strong focus on corporate governance, transparency, sustainability, and integrity programs to ensure ethical business practices and compliance with regulations. Additionally, Copel supports initiatives in research, development, innovation, and social and cultural projects through sponsorship. It also offers customer services such as digital billing and consumption simulation. Key services include energy distribution, generation, transmission, free market energy trading, and insurance products.","['Energy', 'Utilities']",['Public Utilities and Public Sector Related Services'],['Utilities'],['Electric utilities'],"['Supply of single phase electricity', 'Supply of two phase electricity', 'Supply of three phase electricity', 'Electric power transmission services', 'Industrial electric power distribution', 'Rural electrical power distribution', 'Municipal electric power distribution']"
Equatorial Energia,eqtl3,https://www.equatorialenergia.com.br,"Grupo Equatorial is a Brazilian company operating in the energy sector. It serves multiple states including Alagoas, Amapá, Goiás, Maranhão, Pará, Piauí, and Rio Grande do Sul. The company focuses on electricity distribution and related services, providing energy solutions to various regions within Brazil.",['Energy'],['Mining and oil and gas services'],['Oil and gas exploration services'],['Other logging services'],['General well logging services']
